route_id,from_stop,to_stop,from_stop_normalized,to_stop_normalized,case_frequency,avg_duration_seconds,min_duration_seconds,max_duration_seconds,avg_duration_label,min_duration_label,max_duration_label
FR-08C,Kach Naar Park I-8,Faizabad,kach naar park i 8,faizabad,48,130.0,130,130,2 min 10 sec,2 min 10 sec,2 min 10 sec
FR-08C,Margalla Town,Garden Avenue,margalla town,garden avenue,48,115.0,115,115,1 min 55 sec,1 min 55 sec,1 min 55 sec
FR-08C,N.A.R.C Colony,N.I.H Allergy Center,n a r c colony,n i h allergy center,48,120.0,120,120,2 min 0 sec,2 min 0 sec,2 min 0 sec
FR-08C,N.I.H Allergy Center,Shahzad Town,n i h allergy center,shahzad town,48,80.0,80,80,1 min 20 sec,1 min 20 sec,1 min 20 sec
FR-08C,PIMS Hospital,Children Hospital,pims hospital,children hospital,48,220.0,220,220,3 min 40 sec,3 min 40 sec,3 min 40 sec
FR-08C,Park View City,Green Avenue,park view city,green avenue,48,60.0,60,60,1 min 0 sec,1 min 0 sec,1 min 0 sec
FR-08C,Rawal Dam Colony,N.A.R.C Colony,rawal dam colony,n a r c colony,48,80.0,80,80,1 min 20 sec,1 min 20 sec,1 min 20 sec
FR-08C,Rawal Town,School Board Stop,rawal town,school board stop,48,70.0,70,70,1 min 10 sec,1 min 10 sec,1 min 10 sec
FR-08C,School Board Stop,Rawal Dam Colony,school board stop,rawal dam colony,48,130.0,130,130,2 min 10 sec,2 min 10 sec,2 min 10 sec
FR-08C,Shahzad Town,Park View City,shahzad town,park view city,48,130.0,130,130,2 min 10 sec,2 min 10 sec,2 min 10 sec
FR-08C,TNT,H-8,tnt,h 8,48,140.0,140,140,2 min 20 sec,2 min 20 sec,2 min 20 sec
FR-08C,Tamma Stop,Capt. Naeem Tufail Shaheed Chow,tamma stop,capt naeem tufail shaheed chow,48,55.0,55,55,0 min 55 sec,0 min 55 sec,0 min 55 sec
FR-09,British Homes,Pir Wadhai Morh,british homes,pir wadhai morh,65,76.0,76,76,1 min 16 sec,1 min 16 sec,1 min 16 sec
FR-09,CDA Stop,Pully Stop,cda stop,pully stop,65,105.0,105,105,1 min 45 sec,1 min 45 sec,1 min 45 sec
FR-09,CTTI,Social Security Hospital,ctti,social security hospital,65,98.0,98,98,1 min 38 sec,1 min 38 sec,1 min 38 sec
FR-09,Carriage Factory,Westridge,carriage factory,westridge,65,90.0,90,90,1 min 30 sec,1 min 30 sec,1 min 30 sec
FR-09,Chishtiabad,Golra Morh,chishtiabad,golra morh,65,125.0,125,125,2 min 5 sec,2 min 5 sec,2 min 5 sec
FR-09,Dhok Kala Khan,Sohan,dhok kala khan,sohan,65,170.0,170,170,2 min 50 sec,2 min 50 sec,2 min 50 sec
FR-09,Faizabad Metro Station,IJP Metro Station,faizabad metro station,ijp metro station,65,240.0,240,240,4 min 0 sec,4 min 0 sec,4 min 0 sec
FR-09,Fauji Colony,Carriage Factory,fauji colony,carriage factory,65,80.0,80,80,1 min 20 sec,1 min 20 sec,1 min 20 sec
FR-09,Golra Morh,Home of Military Transport,golra morh,home of military transport,65,170.0,170,170,2 min 50 sec,2 min 50 sec,2 min 50 sec
FR-09,Home of Military Transport,Golra Morh Metro Station,home of military transport,golra morh metro station,65,180.0,180,180,3 min 0 sec,3 min 0 sec,3 min 0 sec
FR-09,IJP Metro Station,Pindora Chungi,ijp metro station,pindora chungi,65,230.0,230,230,3 min 50 sec,3 min 50 sec,3 min 50 sec
FR-09,Iqbal Town,Dhok Kala Khan,iqbal town,dhok kala khan,65,95.0,95,95,1 min 35 sec,1 min 35 sec,1 min 35 sec
FR-09,Katarian Chungi,Katarian Pull,katarian chungi,katarian pull,65,76.0,76,76,1 min 16 sec,1 min 16 sec,1 min 16 sec
FR-09,Katarian Pull,CDA Stop,katarian pull,cda stop,65,113.0,113,113,1 min 53 sec,1 min 53 sec,1 min 53 sec
FR-09,Khanna Pul,Zia Masjid,khanna pul,zia masjid,65,290.0,290,290,4 min 50 sec,4 min 50 sec,4 min 50 sec
FR-09,Kohinoor Mill,Chishtiabad,kohinoor mill,chishtiabad,65,120.0,120,120,2 min 0 sec,2 min 0 sec,2 min 0 sec
FR-09,Kohinoor Mill Colony,Kohinoor Mill,kohinoor mill colony,kohinoor mill,65,110.0,110,110,1 min 50 sec,1 min 50 sec,1 min 50 sec
FR-09,Kuri Road,Iqbal Town,kuri road,iqbal town,65,100.0,100,100,1 min 40 sec,1 min 40 sec,1 min 40 sec
FR-09,Mandi Morh,Fauji Colony,mandi morh,fauji colony,65,95.0,95,95,1 min 35 sec,1 min 35 sec,1 min 35 sec
FR-09,Pindora Chungi,Katarian Chungi,pindora chungi,katarian chungi,65,70.0,70,70,1 min 10 sec,1 min 10 sec,1 min 10 sec
FR-09,Pir Wadhai Morh,Kohinoor Mill Colony,pir wadhai morh,kohinoor mill colony,65,130.0,130,130,2 min 10 sec,2 min 10 sec,2 min 10 sec
FR-09,Pully Stop,Mandi Morh,pully stop,mandi morh,65,160.0,160,160,2 min 40 sec,2 min 40 sec,2 min 40 sec
FR-09,Social Security Hospital,British Homes,social security hospital,british homes,65,60.0,60,60,1 min 0 sec,1 min 0 sec,1 min 0 sec
FR-09,Sohan,Faizabad Metro Station,sohan,faizabad metro station,65,220.0,220,220,3 min 40 sec,3 min 40 sec,3 min 40 sec
FR-09,Westridge,CTTI,westridge,ctti,65,77.0,77,77,1 min 17 sec,1 min 17 sec,1 min 17 sec
FR-09,Zia Masjid,Kuri Road,zia masjid,kuri road,65,120.0,120,120,2 min 0 sec,2 min 0 sec,2 min 0 sec
FR-10,A.K Bari Road,G-11 Markaz,a k bari road,g 11 markaz,19,160.0,160,160,2 min 40 sec,2 min 40 sec,2 min 40 sec
FR-10,B-17 Gate no. 1,B-17 Gate no. 2,b 17 gate no 1,b 17 gate no 2,19,120.0,120,120,2 min 0 sec,2 min 0 sec,2 min 0 sec
FR-10,B-17 Gate no. 2,Margalla,b 17 gate no 2,margalla,19,140.0,140,140,2 min 20 sec,2 min 20 sec,2 min 20 sec
FR-10,D-12 Markaz,Shah Allah Ditta,d 12 markaz,shah allah ditta,19,235.0,235,235,3 min 55 sec,3 min 55 sec,3 min 55 sec
FR-10,D-12 Service Road,IESCO D-12,d 12 service road,iesco d 12,19,115.0,115,115,1 min 55 sec,1 min 55 sec,1 min 55 sec
FR-10,F-11 Markaz,OPF Girls College,f 11 markaz,opf girls college,19,130.0,130,130,2 min 10 sec,2 min 10 sec,2 min 10 sec
FR-10,Federal Government College,F-11 Markaz,federal government college,f 11 markaz,19,170.0,170,170,2 min 50 sec,2 min 50 sec,2 min 50 sec
FR-10,G-11 Markaz,Hammad Uddin Road,g 11 markaz,hammad uddin road,19,120.0,120,120,2 min 0 sec,2 min 0 sec,2 min 0 sec
FR-10,G-13 Metro Station,NUST Metro Station,g 13 metro station,nust metro station,19,130.0,130,130,2 min 10 sec,2 min 10 sec,2 min 10 sec
FR-10,Golra Morh,G-13 Metro Station,golra morh,g 13 metro station,19,140.0,140,140,2 min 20 sec,2 min 20 sec,2 min 20 sec
FR-10,Golra Sharif F-11/3,NPF Housing Society,golra sharif f 11 3,npf housing society,19,290.0,290,290,4 min 50 sec,4 min 50 sec,4 min 50 sec
FR-10,Hammad Uddin Road,Federal Government College,hammad uddin road,federal government college,19,130.0,130,130,2 min 10 sec,2 min 10 sec,2 min 10 sec
FR-10,IESCO D-12,D-12 Markaz,iesco d 12,d 12 markaz,19,125.0,125,125,2 min 5 sec,2 min 5 sec,2 min 5 sec
FR-10,Islamabad International Hospital,D-12 Service Road,islamabad international hospital,d 12 service road,19,110.0,110,110,1 min 50 sec,1 min 50 sec,1 min 50 sec
FR-10,Margalla,Taxila Bypass,margalla,taxila bypass,19,140.0,140,140,2 min 20 sec,2 min 20 sec,2 min 20 sec
FR-10,Multy Stop,Islamabad International Hospital,multy stop,islamabad international hospital,19,220.0,220,220,3 min 40 sec,3 min 40 sec,3 min 40 sec
FR-10,NPF Housing Society,Multy Stop,npf housing society,multy stop,19,100.0,100,100,1 min 40 sec,1 min 40 sec,1 min 40 sec
FR-10,NUST Metro Station,A.K Bari Road,nust metro station,a k bari road,19,110.0,110,110,1 min 50 sec,1 min 50 sec,1 min 50 sec
FR-10,OPF Girls College,Golra Sharif F-11/3,opf girls college,golra sharif f 11 3,19,100.0,100,100,1 min 40 sec,1 min 40 sec,1 min 40 sec
FR-10,Sangjani,B-17 Gate no. 1,sangjani,b 17 gate no 1,19,170.0,170,170,2 min 50 sec,2 min 50 sec,2 min 50 sec
FR-10,Shah Allah Ditta,Sangjani,shah allah ditta,sangjani,19,690.0,690,690,11 min 30 sec,11 min 30 sec,11 min 30 sec
FR-10,Taxila Bypass,Wahdat Colony,taxila bypass,wahdat colony,19,190.0,190,190,3 min 10 sec,3 min 10 sec,3 min 10 sec
FR-10,Timber Market,Taxila,timber market,taxila,19,140.0,140,140,2 min 20 sec,2 min 20 sec,2 min 20 sec
FR-10,Wahdat Colony,Timber Market,wahdat colony,timber market,19,80.0,80,80,1 min 20 sec,1 min 20 sec,1 min 20 sec
FR-11,Golra Morh,IMCG I-14/3,golra morh,imcg i 14 3,19,120.0,120,120,2 min 0 sec,2 min 0 sec,2 min 0 sec
FR-11,Golra Morh Metro Station,N5 Metro Station,golra morh metro station,n5 metro station,19,290.0,290,290,4 min 50 sec,4 min 50 sec,4 min 50 sec
FR-11,I-14 Markaz,I-14/1 Park,i 14 markaz,i 14 1 park,19,80.0,80,80,1 min 20 sec,1 min 20 sec,1 min 20 sec
FR-11,I-14/1 Park,Rafiullah Shaheed Chowk,i 14 1 park,rafiullah shaheed chowk,19,70.0,70,70,1 min 10 sec,1 min 10 sec,1 min 10 sec
FR-11,IMCG I-14/3,RIPHAH International University,imcg i 14 3,riphah international university,19,100.0,100,100,1 min 40 sec,1 min 40 sec,1 min 40 sec
FR-11,Motorway Chowk,NUST EME College,motorway chowk,nust eme college,19,125.0,125,125,2 min 5 sec,2 min 5 sec,2 min 5 sec
FR-11,N5 Metro Station,Motorway Chowk,n5 metro station,motorway chowk,19,50.0,50,50,0 min 50 sec,0 min 50 sec,0 min 50 sec
FR-11,NUST EME College,Golra Morh,nust eme college,golra morh,19,130.0,130,130,2 min 10 sec,2 min 10 sec,2 min 10 sec
FR-11,RIPHAH International University,I-14 Markaz,riphah international university,i 14 markaz,19,75.0,75,75,1 min 15 sec,1 min 15 sec,1 min 15 sec
FR-12,Ahmad Nagar,Shah Wali Colony Road,ahmad nagar,shah wali colony road,12,50.0,50,50,0 min 50 sec,0 min 50 sec,0 min 50 sec
FR-12,Askari Cement Factory Road,Dhok Dhollian,askari cement factory road,dhok dhollian,12,80.0,80,80,1 min 20 sec,1 min 20 sec,1 min 20 sec
FR-12,Bahtar Morh,Wah Model Town Phase 01,bahtar morh,wah model town phase 01,12,50.0,50,50,0 min 50 sec,0 min 50 sec,0 min 50 sec
FR-12,Basti,Sabri Gali,basti,sabri gali,12,90.0,90,90,1 min 30 sec,1 min 30 sec,1 min 30 sec
FR-12,Dhok Dhollian,WAPDA Colony,dhok dhollian,wapda colony,12,80.0,80,80,1 min 20 sec,1 min 20 sec,1 min 20 sec
FR-12,Gulshan e Anwar,Jinnah Colony,gulshan e anwar,jinnah colony,12,80.0,80,80,1 min 20 sec,1 min 20 sec,1 min 20 sec
FR-12,Hassan Abdal,Tipu Sultan Shaheed Chowk,hassan abdal,tipu sultan shaheed chowk,12,50.0,50,50,0 min 50 sec,0 min 50 sec,0 min 50 sec
FR-12,Jinnah Colony,New City Phase 01,jinnah colony,new city phase 01,12,95.0,95,95,1 min 35 sec,1 min 35 sec,1 min 35 sec
FR-12,Losar Sharfoo,New City Phase 02,losar sharfoo,new city phase 02,12,115.0,115,115,1 min 55 sec,1 min 55 sec,1 min 55 sec
FR-12,Malakand Stop,Basti,malakand stop,basti,12,70.0,70,70,1 min 10 sec,1 min 10 sec,1 min 10 sec
FR-12,Nawab Abad,Wah Cantt Barrier No 2,nawab abad,wah cantt barrier no 2,12,110.0,110,110,1 min 50 sec,1 min 50 sec,1 min 50 sec
FR-12,New City Phase 01,Losar Sharfoo,new city phase 01,losar sharfoo,12,80.0,80,80,1 min 20 sec,1 min 20 sec,1 min 20 sec
FR-12,New City Phase 02,Bahtar Morh,new city phase 02,bahtar morh,12,115.0,115,115,1 min 55 sec,1 min 55 sec,1 min 55 sec
FR-12,Sabri Gali,Wah Cantt Barrier 03,sabri gali,wah cantt barrier 03,12,40.0,40,40,0 min 40 sec,0 min 40 sec,0 min 40 sec
FR-12,Shah Wali Colony Road,Wah Gardens,shah wali colony road,wah gardens,12,65.0,65,65,1 min 5 sec,1 min 5 sec,1 min 5 sec
FR-12,Swedish College,Malakand Stop,swedish college,malakand stop,12,90.0,90,90,1 min 30 sec,1 min 30 sec,1 min 30 sec
FR-12,Taxila Chowk,University of Wah,taxila chowk,university of wah,12,140.0,140,140,2 min 20 sec,2 min 20 sec,2 min 20 sec
FR-12,University of Wah,Nawab Abad,university of wah,nawab abad,12,110.0,110,110,1 min 50 sec,1 min 50 sec,1 min 50 sec
FR-12,WAPDA Colony,Hassan Abdal,wapda colony,hassan abdal,12,90.0,90,90,1 min 30 sec,1 min 30 sec,1 min 30 sec
FR-12,Wah Cantt Barrier 03,Ahmad Nagar,wah cantt barrier 03,ahmad nagar,12,50.0,50,50,0 min 50 sec,0 min 50 sec,0 min 50 sec
FR-12,Wah Cantt Barrier No 2,Gulshan e Anwar,wah cantt barrier no 2,gulshan e anwar,12,80.0,80,80,1 min 20 sec,1 min 20 sec,1 min 20 sec
FR-12,Wah Gardens,Askari Cement Factory Road,wah gardens,askari cement factory road,12,115.0,115,115,1 min 55 sec,1 min 55 sec,1 min 55 sec
FR-12,Wah Model Town Phase 01,Wah Model Town Phase 02,wah model town phase 01,wah model town phase 02,12,100.0,100,100,1 min 40 sec,1 min 40 sec,1 min 40 sec
FR-12,Wah Model Town Phase 02,Swedish College,wah model town phase 02,swedish college,12,55.0,55,55,0 min 55 sec,0 min 55 sec,0 min 55 sec
FR-13,Afridi Bagh,Hattar,afridi bagh,hattar,13,75.0,75,75,1 min 15 sec,1 min 15 sec,1 min 15 sec
FR-13,Airport Enclave,Madni Chowk,airport enclave,madni chowk,13,230.0,230,230,3 min 50 sec,3 min 50 sec,3 min 50 sec
FR-13,Akram City,Civil CT Road,akram city,civil ct road,13,90.0,90,90,1 min 30 sec,1 min 30 sec,1 min 30 sec
FR-13,Bangu Chowk,Afridi Bagh,bangu chowk,afridi bagh,13,95.0,95,95,1 min 35 sec,1 min 35 sec,1 min 35 sec
FR-13,Civil CT Road,Fateh Jang,civil ct road,fateh jang,13,130.0,130,130,2 min 10 sec,2 min 10 sec,2 min 10 sec
FR-13,Dhok Miskeen,Mangial Link Road 1,dhok miskeen,mangial link road 1,13,195.0,195,195,3 min 15 sec,3 min 15 sec,3 min 15 sec
FR-13,Dhuma,PECHS,dhuma,pechs,13,160.0,160,160,2 min 40 sec,2 min 40 sec,2 min 40 sec
FR-13,Doiyan,Qutbal,doiyan,qutbal,13,150.0,150,150,2 min 30 sec,2 min 30 sec,2 min 30 sec
FR-13,G-15/H-15,G-16/H-16,g 15 h 15,g 16 h 16,13,130.0,130,130,2 min 10 sec,2 min 10 sec,2 min 10 sec
FR-13,G-16/1,Masjid Abu Al Qasim,g 16 1,masjid abu al qasim,13,140.0,140,140,2 min 20 sec,2 min 20 sec,2 min 20 sec
FR-13,G-16/H-16,G-16/1,g 16 h 16,g 16 1,13,115.0,115,115,1 min 55 sec,1 min 55 sec,1 min 55 sec
FR-13,Garhi Hasu Khan,The Avanue 03,garhi hasu khan,the avanue 03,13,100.0,100,100,1 min 40 sec,1 min 40 sec,1 min 40 sec
FR-13,Golra Morh Metro Station,N-5 Metro Station,golra morh metro station,n 5 metro station,13,135.0,135,135,2 min 15 sec,2 min 15 sec,2 min 15 sec
FR-13,Graceland Housing Society,Mangial Link Road 2,graceland housing society,mangial link road 2,13,145.0,145,145,2 min 25 sec,2 min 25 sec,2 min 25 sec
FR-13,Hattar,Prem Nagar Faqeeran,hattar,prem nagar faqeeran,13,70.0,70,70,1 min 10 sec,1 min 10 sec,1 min 10 sec
FR-13,Madni Chowk,Dhuma,madni chowk,dhuma,13,130.0,130,130,2 min 10 sec,2 min 10 sec,2 min 10 sec
FR-13,Mangial Link Road 1,Graceland Housing Society,mangial link road 1,graceland housing society,13,190.0,190,190,3 min 10 sec,3 min 10 sec,3 min 10 sec
FR-13,Mangial Link Road 2,Mangial Main Stop,mangial link road 2,mangial main stop,13,140.0,140,140,2 min 20 sec,2 min 20 sec,2 min 20 sec
FR-13,Mangial Main Stop,Doiyan,mangial main stop,doiyan,13,75.0,75,75,1 min 15 sec,1 min 15 sec,1 min 15 sec
FR-13,Masjid Abu Al Qasim,Top City,masjid abu al qasim,top city,13,190.0,190,190,3 min 10 sec,3 min 10 sec,3 min 10 sec
FR-13,Mohri Patak,Dhok Miskeen,mohri patak,dhok miskeen,13,120.0,120,120,2 min 0 sec,2 min 0 sec,2 min 0 sec
FR-13,Mumtaz City,Airport Enclave,mumtaz city,airport enclave,13,135.0,135,135,2 min 15 sec,2 min 15 sec,2 min 15 sec
FR-13,N-5 Metro Station,G-15/H-15,n 5 metro station,g 15 h 15,13,100.0,100,100,1 min 40 sec,1 min 40 sec,1 min 40 sec
FR-13,PECHS,Mohri Patak,pechs,mohri patak,13,180.0,180,180,3 min 0 sec,3 min 0 sec,3 min 0 sec
FR-13,Prem Nagar Faqeeran,Garhi Hasu Khan,prem nagar faqeeran,garhi hasu khan,13,55.0,55,55,0 min 55 sec,0 min 55 sec,0 min 55 sec
FR-13,Qutbal,Bangu Chowk,qutbal,bangu chowk,13,100.0,100,100,1 min 40 sec,1 min 40 sec,1 min 40 sec
FR-13,The Avanue 03,Akram City,the avanue 03,akram city,13,190.0,190,190,3 min 10 sec,3 min 10 sec,3 min 10 sec
FR-13,Top City,Mumtaz City,top city,mumtaz city,13,80.0,80,80,1 min 20 sec,1 min 20 sec,1 min 20 sec
FR-14,Barakahu,Shahdara,barakahu,shahdara,65,130.0,130,130,2 min 10 sec,2 min 10 sec,2 min 10 sec
FR-14,CDA Stop,Pully Stop,cda stop,pully stop,65,105.0,105,105,1 min 45 sec,1 min 45 sec,1 min 45 sec
FR-14,Dhokri Stop,Kashmir Chowk,dhokri stop,kashmir chowk,65,71.0,71,71,1 min 11 sec,1 min 11 sec,1 min 11 sec
FR-14,Faizabad Metro Station,IJP Metro Station,faizabad metro station,ijp metro station,65,240.0,240,240,4 min 0 sec,4 min 0 sec,4 min 0 sec
FR-14,Garden Avenue,Margalla Town,garden avenue,margalla town,65,110.0,110,110,1 min 50 sec,1 min 50 sec,1 min 50 sec
FR-14,IJP Metro Station,Pindora Chungi,ijp metro station,pindora chungi,65,230.0,230,230,3 min 50 sec,3 min 50 sec,3 min 50 sec
FR-14,ITP Driving License Centre,Sohan,itp driving license centre,sohan,65,400.0,400,400,6 min 40 sec,6 min 40 sec,6 min 40 sec
FR-14,Kashmir Chowk,Rawal Dam Chowk,kashmir chowk,rawal dam chowk,65,160.0,160,160,2 min 40 sec,2 min 40 sec,2 min 40 sec
FR-14,Katarian Chungi,Katarian Pull,katarian chungi,katarian pull,65,76.0,76,76,1 min 16 sec,1 min 16 sec,1 min 16 sec
FR-14,Katarian Pull,CDA Stop,katarian pull,cda stop,65,113.0,113,113,1 min 53 sec,1 min 53 sec,1 min 53 sec
FR-14,Lake View Park,Dhokri Stop,lake view park,dhokri stop,65,220.0,220,220,3 min 40 sec,3 min 40 sec,3 min 40 sec
FR-14,Malpur,Lake View Park,malpur,lake view park,65,125.0,125,125,2 min 5 sec,2 min 5 sec,2 min 5 sec
FR-14,Margalla Town,ITP Driving License Centre,margalla town,itp driving license centre,65,140.0,140,140,2 min 20 sec,2 min 20 sec,2 min 20 sec
FR-14,Pindora Chungi,Katarian Chungi,pindora chungi,katarian chungi,65,69.0,69,69,1 min 9 sec,1 min 9 sec,1 min 9 sec
FR-14,Pully Stop,Mandi Morh,pully stop,mandi morh,65,160.0,160,160,2 min 40 sec,2 min 40 sec,2 min 40 sec
FR-14,Rawal Dam Chowk,Garden Avenue,rawal dam chowk,garden avenue,65,130.0,130,130,2 min 10 sec,2 min 10 sec,2 min 10 sec
FR-14,Shahdara,Malpur,shahdara,malpur,65,140.0,140,140,2 min 20 sec,2 min 20 sec,2 min 20 sec
FR-14,Sohan,Faizabad Metro Station,sohan,faizabad metro station,65,220.0,220,220,3 min 40 sec,3 min 40 sec,3 min 40 sec
FR-14A,Akbar Niazi Hospital,Phulgran,akbar niazi hospital,phulgran,65,40.0,40,40,0 min 40 sec,0 min 40 sec,0 min 40 sec
FR-14A,Al Wadi Colony,Satra Meel,al wadi colony,satra meel,65,80.0,80,80,1 min 20 sec,1 min 20 sec,1 min 20 sec
FR-14A,Athal Chowk,Barakahu Bazar,athal chowk,barakahu bazar,65,160.0,160,160,2 min 40 sec,2 min 40 sec,2 min 40 sec
FR-14A,Barakahu Bazar,Bhera Pull,barakahu bazar,bhera pull,65,130.0,130,130,2 min 10 sec,2 min 10 sec,2 min 10 sec
FR-14A,Barakahu Terminal,Mangu Town,barakahu terminal,mangu town,65,50.0,50,50,0 min 50 sec,0 min 50 sec,0 min 50 sec
FR-14A,Bhera Pull,Nai Abadi,bhera pull,nai abadi,65,130.0,130,130,2 min 10 sec,2 min 10 sec,2 min 10 sec
